职位名称,职位链接,职位类别,人数,工作地点,发布时间
['MIG03-研发工具技术组长（深圳）'],['position_detail.php?id=39956&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['MIG03-持续交付工具链产品经理/产品负责人（深圳）'],['position_detail.php?id=39957&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['23674-腾讯新闻付费内容后台研发工程师（北京）'],['position_detail.php?id=39958&keywords=&tid=0&lid=0'],['技术类'],['1'],['北京'],['2018-05-07']
['23674-腾讯新闻PHP开发工程师（北京）'],['position_detail.php?id=39959&keywords=&tid=0&lid=0'],['技术类'],['1'],['北京'],['2018-05-07']
['23674-腾讯新闻客户端iOS开发工程师（北京）'],['position_detail.php?id=39961&keywords=&tid=0&lid=0'],['技术类'],['1'],['北京'],['2018-05-07']
['OMG236-腾讯视频APP后台开发工程师（深圳）'],['position_detail.php?id=39949&keywords=&tid=0&lid=0'],['技术类'],['3'],['深圳'],['2018-05-07']
['24111-项目经理'],['position_detail.php?id=39950&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['27216-TO B 金融产品经理（深圳）'],['position_detail.php?id=39951&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['SA-腾讯社交广告Q系流量合作运营经理（QQ广告 深圳）'],['position_detail.php?id=39952&keywords=&tid=0&lid=0'],['产品/项目类'],['2'],['深圳'],['2018-05-07']
['23671-短视频运营 - 出品方向'],['position_detail.php?id=39954&keywords=&tid=0&lid=0'],['内容编辑类'],['2'],['北京'],['2018-05-07']
['25928-技术合作项目经理（深圳）'],['position_detail.php?id=39940&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['AQ-内容安全系统验证经理'],['position_detail.php?id=39941&keywords=&tid=0&lid=0'],['职能类'],['1'],['深圳'],['2018-05-07']
['S2-FIT财务管理（深圳）'],['position_detail.php?id=39943&keywords=&tid=0&lid=0'],['职能类'],['1'],['深圳'],['2018-05-07']
['OMG236-腾讯视频APP后台开发工程师（深圳）'],['position_detail.php?id=39944&keywords=&tid=0&lid=0'],['技术类'],['3'],['深圳'],['2018-05-07']
['SNG08-微视产品运营经理（深圳）'],['position_detail.php?id=39945&keywords=&tid=0&lid=0'],['产品/项目类'],['2'],['深圳'],['2018-05-07']
['SNG08-微视产品营销经理（深圳）'],['position_detail.php?id=39946&keywords=&tid=0&lid=0'],['产品/项目类'],['2'],['深圳'],['2018-05-07']
['SNG08-微视产品数据分析师（深圳）'],['position_detail.php?id=39947&keywords=&tid=0&lid=0'],['产品/项目类'],['2'],['深圳'],['2018-05-07']
['SNG08-社区运营经理（深圳）'],['position_detail.php?id=39948&keywords=&tid=0&lid=0'],['内容编辑类'],['2'],['深圳'],['2018-05-07']
['20718-智能硬件后台开发（深圳）'],['position_detail.php?id=39937&keywords=&tid=0&lid=0'],['技术类'],['3'],['深圳'],['2018-05-07']
['MIG16-车联网项目经理（北京）'],['position_detail.php?id=39938&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['北京'],['2018-05-07']
['27092-前端开发工程师（深圳）'],['position_detail.php?id=39939&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['AQ-内容安全系统验证经理'],['position_detail.php?id=39942&keywords=&tid=0&lid=0'],['职能类'],['1'],['广州'],['2018-05-07']
['20718-AI技术开发工程师（深圳）'],['position_detail.php?id=39935&keywords=&tid=0&lid=0'],['技术类'],['3'],['深圳'],['2018-05-07']
['20718-智能业务后台开发工程师（深圳）'],['position_detail.php?id=39936&keywords=&tid=0&lid=0'],['技术类'],['4'],['深圳'],['2018-05-07']
['WXG10-321 企业微信商务推广经理（北京-金融行业）'],['position_detail.php?id=39930&keywords=&tid=0&lid=0'],['市场类'],['1'],['北京'],['2018-05-07']
['15571-主美术'],['position_detail.php?id=39931&keywords=&tid=0&lid=0'],['设计类'],['1'],['深圳'],['2018-05-07']
['17759-游戏内容合作经理'],['position_detail.php?id=39932&keywords=&tid=0&lid=0'],['市场类'],['1'],['北京'],['2018-05-07']
['24549-销售策略（培训）岗位（北京）'],['position_detail.php?id=39933&keywords=&tid=0&lid=0'],['市场类'],['2'],['北京'],['2018-05-07']
['24549-销售策略（广告平台）岗位'],['position_detail.php?id=39934&keywords=&tid=0&lid=0'],['产品/项目类'],['2'],['北京'],['2018-05-07']
['MIG06-应用宝数据挖掘算法工程师（深圳）'],['position_detail.php?id=39925&keywords=&tid=0&lid=0'],['技术类'],['3'],['深圳'],['2018-05-07']
['17759-腾讯视频小说频道用户运营'],['position_detail.php?id=39913&keywords=&tid=0&lid=0'],['内容编辑类'],['1'],['北京'],['2018-05-07']
['17759-腾讯视频小说/漫画频道设计师'],['position_detail.php?id=39915&keywords=&tid=0&lid=0'],['内容编辑类'],['1'],['北京'],['2018-05-07']
['TEG15-风控（海外）策略及数据分析工程师（深圳）'],['position_detail.php?id=39916&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['24548-商业化产品经理'],['position_detail.php?id=39917&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['北京'],['2018-05-07']
['22090-品牌运营设计师（深圳）'],['position_detail.php?id=39919&keywords=&tid=0&lid=0'],['设计类'],['3'],['深圳'],['2018-05-07']
['SNG04-高级产品经理——MCN接入管理（上海）'],['position_detail.php?id=39908&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['上海'],['2018-05-07']
['HY6-产品运营经理（深圳）'],['position_detail.php?id=39911&keywords=&tid=0&lid=0'],['产品/项目类'],['2'],['深圳'],['2018-05-07']
['MIG03-测试开发工程师（武汉）'],['position_detail.php?id=39912&keywords=&tid=0&lid=0'],['技术类'],['1'],['武汉'],['2018-05-07']
['17759-腾讯视频资深漫画编辑'],['position_detail.php?id=39914&keywords=&tid=0&lid=0'],['内容编辑类'],['2'],['北京'],['2018-05-07']
['SNG04-高级产品经理——头部KOL管理（上海）'],['position_detail.php?id=39906&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['上海'],['2018-05-07']
['MIG16-车联网车载导航产品经理（北京）'],['position_detail.php?id=39926&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['北京'],['2018-05-07']
['22967-腾讯广告大客户渠道销售经理（上海）'],['position_detail.php?id=39927&keywords=&tid=0&lid=0'],['市场类'],['1'],['上海'],['2018-05-07']
['SNG08-微云产品经理（深圳）'],['position_detail.php?id=39928&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['20503-深度学习集群运营工程师（深圳）'],['position_detail.php?id=39929&keywords=&tid=0&lid=0'],['技术类'],['2'],['深圳'],['2018-05-07']
['MIG06-应用宝平台产品经理（深圳）'],['position_detail.php?id=39918&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['MIG15-智能终端产品经理'],['position_detail.php?id=39920&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
